character,components,phonetic,meaning,example_word
白,白 (clef : blancheur),bái,Blanc,白色 báise : Blanc
便,亻 (clef : homme) + 更,pián,Avantageux,便宜 piányi : Bon marché
服,月 (clef : Lune) + 4 traits,fú,Vêtement,衣服 yīfu : Vêtement
合,3 traits + 口 (clef : bouche),hé,Convenir,适合 shìhé : Convenir
黑,黑 (clef : noirceur),hēi,Noir,黑色 hēisè : Noir
红,纟 (clef : soie) + 工,hóng,Rouge,红色 hóngsè : Rouge
卖,十 (clef : dix) + 买 (acheter),mài,Vendre,卖主 màizhǔ : Vendeur
毛,毛 (clef : poil),máo,Poil,毛衣 máoyī : Pull
钱,钅 (clef : métal) + 5 traits,qián,Argent,一块钱 yī kuài qián : Un kuai
让,讠 (clef : parole) + 上,ràng,Permettre,让我出去 ràng wǒ chūqù : Laisse-moi sortir
色,色 (clef : couleur),sè,Teinte,颜色 yánsè : Couleur
少,小 + 1 trait,shǎo,Peu,多少 duōshǎo : Combien
试,讠 (clef : parole) + 式,shì,Essayer,我试试 wǒ shì shì : J'essaye
适,辶 (clef : marche) + 舌,shì,Convenable,适合 shìhé : Convenir
双,又 (clef : de nouveau) + 又,shuāng,Paire,一双鞋子 yī shuāng xiézi : Une paire de chaussures
些,此 + 二 (clef : deux),xiē,Quelques/certains,一些人 yīxiē rén : Certaines personnes
衣,衣 (clef : vêtements),yī,Vêtement,衣服 yīfu : Vêtement
宜,宀 (clef : toit) + 且,yí,Convenable,便宜 piányi : Bon marché